timestamp,agent.name,rule.description,rule.level,rule.id
"May 28, 2025 @ 16:52:29.676","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:52:29.676","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:51:29.714","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:51:29.673","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:50:29.706","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:50:29.665","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:49:29.701","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:49:29.661","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:48:29.727","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:48:29.684","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:47:29.645","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:47:29.645","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:46:29.687","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:46:29.646","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:45:29.700","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:45:29.658","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:44:29.663","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:44:29.621","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:43:55.744","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Location Notification","5","61603"
"May 28, 2025 @ 16:43:55.621","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"May 28, 2025 @ 16:43:29.653","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:43:29.612","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:42:29.650","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"May 28, 2025 @ 16:42:29.609","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:42:20.853","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.812","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.812","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.781","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.781","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.750","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.750","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.719","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.719","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.691","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.688","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.657","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.656","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.625","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:20.609","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.702","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.702","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.671","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.671","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.639","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.639","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.608","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.608","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.577","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.576","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.546","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.545","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Audit Policy Program","5","61603"
"May 28, 2025 @ 16:42:19.531","DESKTOP-O7P9I53","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 28, 2025 @ 16:42:18.564","DESKTOP-O7P9I53","Name resolution for the name wpad timed out","5","61109"
"May 28, 2025 @ 16:42:18.154","DESKTOP-O7P9I53","Powershell process created an executable file in Windows root folder","9","92205"
"May 28, 2025 @ 16:42:18.154","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"May 28, 2025 @ 16:42:18.092","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:18.092","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:18.060","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:18.060","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:18.029","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:18.029","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:17.998","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:17.998","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:17.967","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:17.967","DESKTOP-O7P9I53","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 16:42:17.935","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.935","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.904","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.903","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.873","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.873","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.841","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.841","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.810","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.810","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.779","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.778","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:17.765","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:16.886","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"May 28, 2025 @ 16:42:16.871","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:16.840","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:16.839","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
"May 28, 2025 @ 16:42:16.809","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows Modules Installer Worker","5","61603"
"May 28, 2025 @ 16:42:16.809","DESKTOP-O7P9I53","Discovery activity executed","3","92031"
