timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 11, 2025 @ 18:21:42.888","hat-VMware-Virtual-Platform","Apparmor DENIED","3","52002"
"Jun 11, 2025 @ 18:21:06.516","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:21:04.369","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:21:01.340","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 11, 2025 @ 18:21:01.340","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 11, 2025 @ 18:20:20.536","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"Jun 11, 2025 @ 18:20:20.536","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:20:19.114","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 11, 2025 @ 18:20:19.114","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 11, 2025 @ 18:20:17.616","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Consent UI for administrative applications","5","61603"
"Jun 11, 2025 @ 18:20:13.146","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation VMware Resolution Set","5","61603"
"Jun 11, 2025 @ 18:20:13.082","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:20:01.352","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 11, 2025 @ 18:20:01.311","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 11, 2025 @ 18:19:09.676","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Host Process for Windows Tasks","5","61603"
"Jun 11, 2025 @ 18:19:08.505","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:19:07.778","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation VMware Resolution Set","5","61603"
"Jun 11, 2025 @ 18:19:02.668","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 11, 2025 @ 18:19:01.335","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 11, 2025 @ 18:18:59.958","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:18:57.210","DESKTOP-O7P9I53","Sysmon - Event 22: DNS Query event","5","61650"
"Jun 11, 2025 @ 18:18:01.297","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 11, 2025 @ 18:18:01.296","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 11, 2025 @ 18:17:30.342","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:17:27.651","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:17:27.650","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:17:25.454","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:17:23.270","DESKTOP-O7P9I53"," Suspicious batch file detected in command-line (reverse_shell.bat)","12","100303"
"Jun 11, 2025 @ 18:17:09.037","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:17:07.583","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:17:07.537","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 18:17:07.081","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows Modules Installer Worker","5","61603"
