timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 9, 2025 @ 19:44:02.320","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:44:02.319","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:43:27.703","DESKTOP-O7P9I53","Software protection service scheduled successfully.","3","60642"
"Jun 9, 2025 @ 19:43:02.292","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:43:02.291","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:42:57.851","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Malware Protection Command Line Utility","5","61603"
"Jun 9, 2025 @ 19:42:57.850","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Malware Protection Command Line Utility","5","61603"
"Jun 9, 2025 @ 19:42:46.947","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"Jun 9, 2025 @ 19:42:46.935","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"Jun 9, 2025 @ 19:42:08.492","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:42:02.282","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:42:02.282","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:41:56.166","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKU\\S-1-5-21-442569660-4060779802-1076883227-1001\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Explorer\\FileExts\\.exe\\OpenWithProgids\\exefile by C:\\Windows\\Explorer.EXE","5","61615"
"Jun 9, 2025 @ 19:41:46.170","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Host Process for Windows Tasks","5","61603"
"Jun 9, 2025 @ 19:41:46.142","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Service Control Manager Configuration Tool","5","61603"
"Jun 9, 2025 @ 19:41:45.394","DESKTOP-O7P9I53","Windows Logon Success","3","60106"
"Jun 9, 2025 @ 19:41:02.393","DESKTOP-O7P9I53","Service startup type was changed","3","61104"
"Jun 9, 2025 @ 19:41:02.329","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:41:02.282","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:40:08.529","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:40:02.261","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:40:02.261","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:39:08.357","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:39:02.286","DESKTOP-O7P9I53","Executable file dropped in folder commonly used by malware","15","92213"
"Jun 9, 2025 @ 19:39:02.281","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Microsoft Edge","5","61603"
"Jun 9, 2025 @ 19:39:02.279","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows PowerShell","5","61603"
"Jun 9, 2025 @ 19:38:56.211","DESKTOP-O7P9I53","Sysmon - Event 1: Process creation Windows Security Health Host","5","61603"
"Jun 9, 2025 @ 19:38:37.067","hat-VMware-Virtual-Platform","Apparmor DENIED","3","52002"
"Jun 9, 2025 @ 19:38:37.066","hat-VMware-Virtual-Platform","Apparmor DENIED","3","52002"
"Jun 9, 2025 @ 19:38:37.066","hat-VMware-Virtual-Platform","Apparmor DENIED","3","52002"
"Jun 9, 2025 @ 19:38:36.138","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\PROVIDERS\\Performance\\Performance Refreshed by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
"Jun 9, 2025 @ 19:38:36.122","DESKTOP-O7P9I53","Sysmon - Event 13: RegistryEvent SetValue on HKLM\\SOFTWARE\\Microsoft\\Wbem\\PROVIDERS\\Performance\\Performance Refresh by \\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE","5","61615"
